,block
F_WTI_CRUDE,Futures
F_BRENT_CRUDE,Futures
F_NAT_GAS,Futures
F_HEATING_OIL,Futures
F_GAS_OIL,Futures
F_GOLD,Futures
F_SILVER,Futures
F_PALLADIUM,Futures
F_PLATINUM,Futures
F_COPPER,Futures
F_ALUMINIUM,Futures
F_ZINC,Futures
F_NICKEL,Futures
F_LEAD,Futures
F_TIN,Futures
F_CORN,Futures
F_WHEAT_CBOT,Futures
F_WHEAT_KCBT,Futures
F_SOYBEANS,Futures
F_COTTON,Futures
F_SUGAR,Futures
F_COFFEE,Futures
F_COCOA,Futures
F_ORANGE_JUICE,Futures
F_LUMBER,Futures
F_LIVE_CATTLE,Futures
F_FEEDER_CATTLE,Futures
F_LEAN_HOGS,Futures
EQ_P_OilGasProd,EquityProducer
EQ_P_NatGasUtil,EquityProducer
EQ_X_Refining,EquityProcessor
EQ_X_Chemicals,EquityProcessor
EQ_X_RubberPlastic,EquityProcessor
EQ_X_SteelPrimary,EquityProcessor
EQ_X_AlumFabMetal,EquityProcessor
EQ_X_FoodGrain,EquityProcessor
EQ_X_MeatDairy,EquityProcessor
EQ_X_PaperWood,EquityProcessor
C_AUD,Currency
C_CAD,Currency
C_NZD,Currency
C_NOK,Currency
C_ZAR,Currency
C_BRL,Currency
C_CLP,Currency
C_RUB,Currency
C_MXN,Currency
C_PEN,Currency
C_MYR,Currency
C_IDR,Currency
